id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
pro2-xxs,2,8,0,20,0,scw_pro2.base,
dev1-l,4,8,0,20,0,scw_dev1.base,
ent1-xxs,2,8,0,20,0,scw_ent1.base,
gp1-xs,4,16,0,20,0,scw_gp1.base,
pop2-4c-16g-win,4,16,0,20,0,scw_pop2.base,
pop2-hm-4c-32g,4,32,0,20,0,scw_pop2hm.base,
pop2-hn-3,2,4,0,20,0,scw_pop2.base,
coparm1-8c-32g,8,32,0,20,0,scw_coparm1.base,
coparm1-32c-128g,32,128,0,20,0,scw_coparm1.base,
pop2-hc-8c-16g,8,16,0,20,0,scw_pop2hc.base,
pop2-hm-2c-16g,2,16,0,20,0,scw_pop2hm.base,
ent1-xl,64,256,0,20,0,scw_ent1.base,
gp1-m,16,64,0,20,0,scw_gp1.base,
pop2-16c-64g-win,16,64,0,20,0,scw_pop2.base,
pro2-l,32,128,0,20,0,scw_pro2.base,
pop2-64c-256g,64,256,0,20,0,scw_pop2.base,
gp1-s,8,32,0,20,0,scw_gp1.base,
coparm1-2c-8g,2,8,0,20,0,scw_coparm1.base,
dev1-xl,4,12,0,20,0,scw_dev1.base,
ent1-l,32,128,0,20,0,scw_ent1.base,
gp1-xl,48,256,0,20,0,scw_gp1.base,
play2-nano,2,4,0,20,0,scw_play2.base,
pop2-hm-16c-128g,16,128,0,20,0,scw_pop2hm.base,
pop2-4c-16g,4,16,0,20,0,scw_pop2.base,
pop2-32c-128g-win,32,128,0,20,0,scw_pop2.base,
pop2-hm-8c-64g,8,64,0,20,0,scw_pop2hm.base,
pop2-16c-64g,16,64,0,20,0,scw_pop2.base,
pop2-hc-64c-128g,64,128,0,20,0,scw_pop2hc.base,
pro2-xs,4,16,0,20,0,scw_pro2.base,
dev1-m,3,4,0,20,0,scw_dev1.base,
gp1-l,32,128,0,20,0,scw_gp1.base,
pop2-2c-8g-win,2,8,0,20,0,scw_pop2.base,
gp1-viz,8,32,0,20,0,scw_gp1.base,
coparm1-4c-16g,4,16,0,20,0,scw_coparm1.base,
pop2-2c-8g,2,8,0,20,0,scw_pop2.base,
pop2-32c-128g,32,128,0,20,0,scw_pop2.base,
pop2-hc-32c-64g,32,64,0,20,0,scw_pop2hc.base,
ent1-2xl,96,384,0,20,0,scw_ent1.base,
pop2-hm-64c-512g,64,512,0,20,0,scw_pop2hm.base,
pro2-m,16,64,0,20,0,scw_pro2.base,
pop2-hn-5,4,8,0,20,0,scw_pop2.base,
coparm1-16c-64g,16,64,0,20,0,scw_coparm1.base,
ent1-m,16,64,0,20,0,scw_ent1.base,
ent1-xs,4,16,0,20,0,scw_ent1.base,
pop2-8c-32g,8,32,0,20,0,scw_pop2.base,
pop2-hc-2c-4g,2,4,0,20,0,scw_pop2hc.base,
pro2-s,8,32,0,20,0,scw_pro2.base,
pop2-hc-4c-8g,4,8,0,20,0,scw_pop2hc.base,
pop2-hm-32c-256g,32,256,0,20,0,scw_pop2hm.base,
ent1-s,8,32,0,20,0,scw_ent1.base,
play2-micro,4,8,0,20,0,scw_play2.base,
play2-pico,1,2,0,20,0,scw_play2.base,
pop2-hn-10,4,8,0,20,0,scw_pop2.base,
dev1-s,2,2,0,20,0,scw_dev1.base,
pop2-8c-32g-win,8,32,0,20,0,scw_pop2.base,
pop2-hc-16c-32g,16,32,0,20,0,scw_pop2hc.base,
