Family,CPU model,CPU family,Official frequency (Ghz),Generation
av2,Intel® Xeon® Platinum 8370C,Ice Lake,,3
bsv2,,,,
dalsv6-daldsv6,,,,
dasv5-dadsv5,,,,
dasv6-dadsv6,,,,
dav4-dasv4,,,,
dcasccv5-dcadsccv5,,,,
dcasv5-dcadsv5,,,,
dcesv5-dcedsv5,,,,
dcv2,Intel® Xeon E-2288G,Coffee Lake,3.7,
dcv3,,,,
ddv4-ddsv4,,,,
ddv5-ddsv5,,,,
dlsv5-dldsv5,,,,
dplsv5-dpldsv5,,,,
dpsv5-dpdsv5,,,,
dv2-dsv2,,,,
dv3-dsv3,,,,
dv4-dsv4,,,,
dv5-dsv5,,,,
easv5-eadsv5,,,,
easv6-eadsv6,,,,
eav4-easv4,,,,
ebdsv5-ebsv5,,,,
ecasccv5-ecadsccv5,,,,
ecasv5-ecadsv5,,,,
ecesv5-ecedsv5,,,,
edv4-edsv4,,,,
edv5-edsv5,,,,
epsv5-epdsv5,,,,
ev3-esv3,,,,
ev4-esv4,,,,
ev5-esv5,,,,
fasv6-falsv6,,,,
fsv2,,,,
fx,,,,
hb,,,,
hbv2,,,,
hbv3,,,,
hbv4,,,,
hc,,,,
hx,,,,
lasv3,,,,
lsv2,,,,
lsv3,,,,
m,,,,
msv2-mdsv2,,,,
msv3-mdsv3-medium,,,,
mv2,,,,
nc-a100-v4,,,,
nc,,,,
nct4-v3,,,,
ncv2,,,,
ncv3,,,,
nda100-v4,AMD Epyc™ 7V12 (Rome),,,2
nd-h100-v5,Intel Xeon Scalable,,,4
ndm-a100-v4,AMD Epyc™ 7V12 (Rome),,,2
nd,,,,
ndv2,,,,
ngads-v-620,,,,
np,,,,
nva10v5,,,,
nv,,,,
nvv3,,,,
nvv4,,,,
